category,revenue,orders,avg_review
health_beauty,1237439.95,8647,4.19
watches_gifts,1167246.63,5495,4.07
bed_bath_table,1037177.69,9272,3.92
sports_leisure,960189.09,7530,4.17
computers_accessories,896243.28,6530,3.98
furniture_decor,718344.78,6307,3.95
housewares,617836.73,5743,4.11
cool_stuff,612071.86,3559,4.19
auto,580263.44,3810,4.12
toys,472109.78,3804,4.21
garden_tools,471671.27,3448,4.08
baby,400774.42,2809,4.08
perfumery,391175.73,3086,4.22
telephony,310004.11,4093,4.0
office_furniture,269418.1,1254,3.52
stationery,224145.67,2264,4.24
computers,218684.14,177,4.22
pet_shop,211971.64,1688,4.22
musical_instruments,184340.64,611,4.22
small_appliances,183677.02,609,4.23
Unknown,171438.59,1392,3.94
electronics,155173.83,2517,4.07
fashion_bags_accessories,150162.75,1820,4.19
consoles_games,148538.37,1018,4.14
construction_tools_construction,142940.29,736,4.09
luggage_accessories,138701.63,1019,4.35
home_appliances_2,108221.6,227,4.16
home_appliances,81856.55,747,4.23
home_construction,81527.42,483,3.96
agro_industry_and_commerce,70566.1,177,4.09
furniture_living_room,67861.4,414,3.94
home_confort,58265.15,392,3.85
fixed_telephony,55355.2,212,3.76
air_conditioning,53323.56,246,4.05
audio,50620.5,348,3.83
small_appliances_home_oven_and_coffee,46589.56,72,4.44
kitchen_dining_laundry_garden_furniture,45531.98,241,4.03
books_general_interest,45302.15,496,4.51
construction_tools_lights,40185.0,242,4.09
construction_tools_safety,38773.22,159,3.97
industry_commerce_and_business,38574.81,232,4.13
food,28731.15,441,4.26
market_place,27795.77,274,4.07
costruction_tools_garden,25150.13,190,4.12
art,23657.3,195,4.08
fashion_shoes,23206.16,235,4.29
drinks,21607.04,287,4.13
signaling_and_security,21315.05,138,4.09
furniture_bedroom,19051.8,90,4.25
books_technical,18755.2,256,4.39
costruction_tools_tools,15903.95,97,4.44
food_drink,15033.87,221,4.37
fashion_male_clothing,10452.33,106,3.76
fashion_underwear_beach,9305.95,117,4.05
christmas_supplies,8737.84,125,4.07
tablets_printing_image,7528.41,79,4.12
cine_photo,6690.37,63,4.3
music,6034.35,38,4.21
dvds_blu_ray,4542.59,56,4.18
party_supplies,4465.19,38,3.83
books_imported,4418.86,50,4.51
furniture_mattress_and_upholstery,4323.38,37,3.89
portateis_cozinha_e_preparadores_de_alimentos,3933.63,13,3.43
fashio_female_clothing,2700.84,36,3.96
fashion_sport,2119.51,26,4.37
la_cuisine,2054.99,13,4.0
arts_and_craftmanship,1814.01,23,4.13
diapers_and_hygiene,1500.79,25,3.38
pc_gamer,1306.95,7,3.63
flowers,1110.04,29,4.42
home_comfort_2,760.27,24,3.63
cds_dvds_musicals,730.0,12,4.64
fashion_childrens_clothes,519.95,7,5.0
security_and_services,283.29,2,2.5
